a,b,c,d,e,f,g,h,i,j,k,l,m
$D,0033.24,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*E2
$D,0033.32,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*34
$D,0033.46,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*2E
$D,0033.49,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*95
$D,0033.58,8.2,100,12.5,0.0,000,28.0,0,0.0,0, ,*49
$D,0033.73,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*1E
$D,0033.82,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*D2
$D,0033.91,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*89
$D,0033.95,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*5F
$D,0034.09,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*60
$D,0034.18,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*A1
$D,0034.27,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*00
$D,0034.31,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*07
$D,0034.40,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*D3
$D,0034.58,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*58
$D,0034.66,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*59
$D,0034.76,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*8E
$D,0034.90,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*AE
$D,0034.93,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*42
$D,0035.07,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*F4
$D,0035.11,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*DA
$D,0035.20,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*6E
$D,0035.35,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*77
$D,0035.39,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*DC
$D,0035.53,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*B1
$D,0035.56,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*79
$D,0035.65,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*4E
$D,0035.80,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*99
$D,0035.84,8.2,100,12.4,0.0,000,28.0,0,0.0,0, ,*BF
$D,0035.98,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*44
$D,0036.02,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*E6
$D,0036.10,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*CF
$D,0036.24,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*43
$D,0036.34,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*2B
$D,0036.43,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*EA
$D,0036.47,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*47
$D,0036.55,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*70
$D,0036.64,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*AA
$D,0036.73,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*F4
$D,0036.92,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*52
$D,0037.06,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*D1
$D,0037.19,8.2,100,12.4,0.0,000,28.0,0,-0.1,0,0.0,*01
$D,0037.32,8.2,100,12.5,0.0,000,28.0,0,0.0,0,0.0,*35
$D,0037.36,8.2,100,12.4,0.0,000,28.0,0,0.0,0,0.0,*CA
