payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected
2.04;1.5;16; ag45c;3.638466254;72.92461732;91.87559748;0.666409128;3162.505468;340;900.5528759;988.2829588;54.66666667;0;1;0;797.6119449;0
2.55;1.5;12; ag45c;3.92938595;60.47577491;86.29923692;0.64267971;3115.797197;425;868.4860945;973.6866241;54.66666667;0;1;0;810.3909062;0
2.55;1.5;14; ag45c;4.001344496;85.29505974;78.51391537;0.652758723;3130.109085;425;882.106383;978.1590891;54.66666667;0;1;0;816.421824;0
2.55;1.5;16; ag45c;4.211949412;130.2797879;59.71705295;0.653016264;3134.934421;425;882.4544111;979.6670065;54.66666667;0;1;0;817.0404725;0
2.55;2;16; ag45c;4.467742206;62.82625282;74.88416208;0.616248843;3053.620905;425;832.7687069;954.256533;54.66666667;0;1;0;792.0084133;0
3.06;1.5;12; ag45c;4.490079634;100.1919191;61.74766144;0.628798958;3083.380307;510;849.7283217;963.556346;54.66666667;0;1;0;829.0948892;0
3.06;1.5;10; ag45c;4.469632621;68.76004658;69.64511204;0.633348808;3064.460657;510;855.8767676;957.6439554;54.66666667;0;1;0;829.1735743;0
3.06;1.5;14; ag45c;4.777327654;169.6799042;40.31821495;0.645461795;3088.79532;510;872.2456685;965.2485376;54.66666667;0;1;0;837.1647354;0
3.06;1.5;16; ag45c;4.781879938;247.6940533;26.13920057;0.641977335;3097.960802;510;867.5369393;968.1127506;54.66666667;0;1;0;836.5498966;0
3.06;2;16; ag45c;5.190672732;107.3556011;49.46334927;0.614528397;3026.124661;510;830.4437795;945.6639565;54.66666667;0;1;0;816.7025787;0
3.57;1.5;8; ag45c;5.034514719;75.12428846;54.6770794;0.610763527;2987.249476;595;825.3561172;933.5154612;54.66666667;0;1;0;839.2905261;0
3.57;1.5;10; ag45c;5.021799989;111.9464605;47.86698733;0.612746092;3027.811017;595;828.0352596;946.1909428;54.66666667;0;1;0;844.4087341;0
3.57;1.5;12; ag45c;5.061431213;165.29483;36.79593099;0.615100924;3044.44392;595;831.217465;951.3887251;54.66666667;0;1;0;847.2020634;0
3.57;2;12; ag45c;5.253799209;65.63000382;56.9130517;0.602176849;2967.167281;595;813.7524988;927.2397752;54.66666667;0;1;0;833.330758;0
3.57;1.5;14; ag45c;5.349389759;271.2940308;15.57383297;0.626449317;3047.242367;595;846.5531308;952.2632398;54.66666667;0;1;0;852.6054568;0
3.57;1.5;16; ag45c;5.340442043;273.4272868;14.03470332;0.63015467;3061.293331;595;851.5603655;956.654166;54.66666667;0;1;0;855.7381772;0
3.57;2;14; ag45c;5.363591226;96.7308153;48.39082527;0.604741267;2991.37852;595;817.2179285;934.8057874;54.66666667;0;1;0;837.0079053;0
3.57;2;16; ag45c;5.784761153;177.2523323;27.58609823;0.614816942;2994.967889;595;830.8337052;935.9274653;54.66666667;0;1;0;841.9203902;0
3.57;2.5;16; ag45c;6.259960026;107.4953395;36.10098481;0.589649602;2915.245155;595;796.8237861;911.014111;54.66666667;0;1;0;822.279299;0
4.08;1.5;8; ag45c;5.576734719;114.7845576;37.48006363;0.597735165;2948.733099;680;807.7502235;921.4790935;54.66666667;0;1;0;857.7431057;0
4.08;1.5;10; ag45c;5.5697042;179.2854971;26.98279155;0.603848067;2981.873402;680;816.010901;931.8354382;54.66666667;0;1;0;863.9487797;0
4.08;2;10; ag45c;5.807032527;75.88900693;45.1236935;0.588846535;2901.131892;680;795.7385606;906.6037164;54.66666667;0;1;0;848.780759;0
4.08;1.5;12; ag45c;5.824624897;245.2562442;13.94038813;0.614377508;2998.554153;680;830.2398753;937.0481727;54.66666667;0;1;0;870.4293494;0
4.08;1.5;14; ag45c;5.914346601;242.7901856;11.99213513;0.61829651;3008.622269;680;835.5358247;940.194459;54.66666667;0;1;0;873.2434279;0
4.08;1.5;16; ag45c;5.89687257;244.9372194;10.29278388;0.610504444;3018.193771;680;825.006006;943.1855535;54.66666667;0;1;0;870.7305198;0
4.08;2;12; ag45c;5.816624472;102.5199525;39.86924029;0.587196376;2938.347466;680;793.5086167;918.2335833;54.66666667;0;1;0;851.9140667;0
4.08;2.5;14; ag45c;6.153458712;79.05539395;41.65655641;0.57413161;2874.796369;680;775.8535266;898.3738653;54.66666667;0;1;0;839.4091306;0
