payload;span;aspect_ratio;airfoil;total mass;take_off_length;climb_height;efficiency_points;distance;score_payload;score_efficiency;score_distance;b_loading;penalty_current;take_off_factor;penalty_round;score_round;score_round_corrected;wing_area;wing_loading
1.53;1.5;16;ag19;3.099520403;66.17544948;100;0.670655173;3183.454208;255;906.2907739;994.82944;54.66666667;0;1;0;773.3734046;0;0.140625;220.4103398
2.04;1.5;12;ag19;3.679532478;62.66508908;92.2490237;0.653864815;3136.935644;340;883.6011008;980.2923887;54.66666667;0;1;0;789.2978298;0;0.1875;196.2417322
2.04;1.5;14;ag19;3.679069734;87.04520434;84.4411877;0.666821888;3153.388002;340;901.1106597;985.4337506;54.66666667;0;1;0;796.8481368;0;0.160714286;228.9198945
2.04;1.5;16;ag19;3.673003561;113.1063477;75.824346;0.664347123;3164.840493;340;897.7663824;989.012654;54.66666667;0;1;0;796.9263455;0;0.140625;261.1913644
2.04;2;16;ag19;4.070211337;61.61881925;82.68588341;0.636211585;3080.136328;340;859.7453855;962.5426024;54.66666667;0;1;0;775.4293293;0;0.25;162.8084535
2.55;1.5;10;ag19;3.993758819;63.63479975;82.97306282;0.638079605;3096.192371;425;862.2697362;967.5601161;54.66666667;0;1;0;806.2766174;0;0.225;177.5003919
2.55;1.5;12;ag19;4.259410373;106.1083516;63.67505315;0.65334423;3113.880791;425;882.8976084;973.0877473;54.66666667;0;1;0;814.9951185;0;0.1875;227.1685532
2.55;1.5;14;ag19;4.242605523;145.9026678;53.84217677;0.650299771;3130.385992;425;878.7834741;978.2456226;54.66666667;0;1;0;815.3430323;0;0.160714286;263.9843437
2.55;1.5;16;ag19;4.31967093;229.4088529;33.52138053;0.613454804;3139.971876;425;828.9929777;981.2412114;54.66666667;0;1;0;799.7447297;0;0.140625;307.1765995
2.55;2;14;ag19;4.676007088;77.6818895;62.62652866;0.593500021;3037.471252;425;802.0270554;949.2097661;54.66666667;0;1;0;780.0789405;0;0.285714286;163.6602481
2.55;2;16;ag19;4.644405022;98.99024759;57.2418679;0.631555628;3057.19229;425;853.4535517;955.3725906;54.66666667;0;1;0;799.2753808;0;0.25;185.7762009
2.55;2.5;16;ag19;5.163851728;75.80113957;52.79314917;0.598878563;2968.711439;425;809.2953558;927.7223248;54.66666667;0;1;0;775.3392269;0;0.390625;132.1946042
2.55;3;16;ag19;5.777578475;69.02225922;43.99855832;0.597915805;2868.773508;425;807.9943311;896.4917212;54.66666667;0;1;0;764.4953508;0;0.5625;102.7125062
3.06;1.5;8;ag19;4.535795518;65.70152978;66.73660993;0.615920196;3032.234128;510;832.3245886;947.573165;54.66666667;0;1;0;817.9659179;0;0.28125;161.2727295
2.55;3.5;16;ag19;6.501915844;75.85568239;29.48469228;0.553336756;2769.224373;425;747.752373;865.3826165;54.66666667;0;1;0;734.0449965;0;0.765625;84.92298245
3.06;1.5;10;ag19;4.592820924;98.48021263;57.46057897;0.6316238;3070.15965;510;853.5456761;959.4248907;54.66666667;0;1;0;828.9901889;0;0.225;204.1253744
3.06;1.5;12;ag19;4.822946162;182.2408137;35.11409952;0.635633511;3082.167896;510;858.9642047;963.1774676;54.66666667;0;1;0;832.0472241;0;0.1875;257.2237953
3.06;2;12;ag19;5.256841926;92.57790021;47.56688127;0.61631912;2993.699771;510;832.8636762;935.5311785;54.66666667;0;1;0;814.1316182;0;0.333333333;157.7052578
3.06;1.5;14;ag19;4.805430786;268.0680499;19.28951766;0.634769065;3097.844383;510;857.7960343;968.0763696;54.66666667;0;1;0;833.2908013;0;0.160714286;299.0045823
