v1,v_1,t_1,points,v_2,h_1
0,10.34599382003256,1.5905439094332274,0.7457874723685011,16.573054941522244,96.18121007304218
1,11.119542325534011,1.5905439094332274,0.6689631956865172,0.0,0.0
2,11.893090831035465,1.5905439094332274,0.7441220345293362,0.0,0.0
3,12.666639336536917,1.5905439094332274,0.7448861433405993,0.0,0.0
4,13.44018784203837,1.5905439094332274,0.7454781566118609,0.0,0.0
5,14.213736347539822,1.5905439094332274,0.7459632723478089,0.0,0.0
6,14.987284853041274,1.5905439094332274,0.7463613850760336,0.0,0.0
7,15.760833358542726,1.5905439094332274,0.7466330795494521,0.0,0.0
8,16.534381864044178,1.5905439094332274,0.7468613884574858,0.0,0.0
9,17.307930369545634,1.5905439094332274,0.7470697051985074,0.0,0.0
10,18.081478875047086,1.5905439094332274,0.7471964007535715,0.0,0.0
11,18.855027380548538,1.5905439094332274,0.7472804564101783,0.0,0.0
12,19.62857588604999,1.5905439094332274,0.7473199695326117,0.0,0.0
13,20.402124391551446,1.5905439094332274,0.7473206285253083,0.0,0.0
14,21.175672897052895,1.5905439094332274,0.7472908735629307,0.0,0.0
15,21.94922140255435,1.5905439094332274,0.7472371537518175,0.0,0.0
16,22.722769908055803,1.5905439094332274,0.7471429333973667,0.0,0.0
17,23.496318413557255,1.5905439094332274,0.7470168980346147,0.0,0.0
18,24.269866919058707,1.5905439094332274,0.74686935480289,0.0,0.0
19,25.04341542456016,1.5905439094332274,0.7467103603517915,0.0,0.0
20,25.81696393006161,1.5905439094332274,0.7465437311320727,0.0,0.0
21,26.590512435563063,1.5905439094332274,0.7463664848530399,0.0,0.0
22,27.364060941064515,1.5905439094332274,0.7461812674678523,0.0,0.0
23,28.137609446565968,1.5905439094332274,0.7459895685673047,0.0,0.0
24,28.91115795206742,1.5905439094332274,0.7457362001035887,0.0,0.0
25,29.684706457568872,1.5905439094332274,0.7453830328598372,0.0,0.0
26,30.45825496307033,1.5905439094332274,0.7449318823379528,0.0,0.0
27,31.231803468571783,1.5905439094332274,0.7443544684317078,0.0,0.0
28,32.00535197407323,1.5905439094332274,0.7436787889162927,0.0,0.0
29,32.77890047957469,1.5905439094332274,0.7428996975641512,0.0,0.0
30,10.34599382003256,4.639145843590702,0.002850812359390293,15.75110001860977,87.59053374578286
31,11.119542325534011,4.639145843590702,0.5073575377506403,13.480845392195342,72.73091539148471
32,11.893090831035465,4.639145843590702,0.7284598227591635,0.0,0.0
33,12.666639336536917,4.639145843590702,0.7320074285163678,0.0,0.0
34,13.44018784203837,4.639145843590702,0.7350641867469271,0.0,0.0
35,14.213736347539822,4.639145843590702,0.005887192270339625,0.0,0.0
36,14.987284853041274,4.639145843590702,0.7403392234784939,0.0,0.0
37,15.760833358542726,4.639145843590702,0.7423353265132945,0.0,0.0
