v1,v_1,t_1,points,v_2,h_1
0,11.33828483928977,0.0,,0.0,0.0
1,11.556969745966093,0.0,,0.0,0.0
2,11.775654652642416,0.0,0.028900907484781198,0.0,0.0
3,11.99433955931874,0.0,0.009211977191346265,0.0,0.0
4,12.213024465995064,0.0,0.0055434412064685815,0.0,0.0
5,12.431709372671387,0.0,0.003996328624956319,0.0,0.0
6,12.65039427934771,0.0,0.003821867208964289,0.0,0.0
7,12.869079186024035,0.0,0.0038771080235796146,0.0,0.0
8,13.087764092700358,0.0,0.003932061432640422,0.0,0.0
9,13.30644899937668,0.0,0.003986730591948518,0.0,0.0
10,13.525133906053004,0.0,0.0040411186120289135,0.0,0.0
11,13.743818812729327,0.0,0.004096114308965059,0.0,0.0
12,13.96250371940565,0.0,0.004151513802965296,0.0,0.0
13,14.181188626081974,0.0,0.004206675268159901,0.0,0.0
14,14.399873532758297,0.0,0.004261553586172917,0.0,0.0
15,14.61855843943462,0.0,0.004316142774811027,0.0,0.0
16,14.837243346110945,0.0,0.004371104808348597,0.0,0.0
17,15.055928252787268,0.0,0.004426946741087114,0.0,0.0
18,15.274613159463591,0.0,0.004482549481383837,0.0,0.0
19,15.493298066139914,0.0,0.004537912794739576,0.0,0.0
20,15.711982972816237,0.0,0.004593036419628652,0.0,0.0
21,15.93066787949256,0.0,0.0046478432013597375,0.0,0.0
22,16.149352786168883,0.0,0.004701992328879023,0.0,0.0
23,16.368037692845206,0.0,0.004755888066249275,0.0,0.0
24,16.58672259952153,0.0,0.004809530099017455,0.0,0.0
25,16.805407506197852,0.0,0.004862918090657735,0.0,0.0
26,17.02409241287418,0.0,0.004916051683233868,0.0,0.0
27,17.242777319550502,0.0,0.0049706880347309065,0.0,0.0
28,17.461462226226825,0.0,0.00502521116512288,0.0,0.0
29,17.680147132903148,0.0,0.0050795240628189325,0.0,0.0
30,17.89883203957947,0.0,0.005133626131974637,0.0,0.0
31,18.117516946255794,0.0,0.0051875167524372085,0.0,0.0
32,18.33620185293212,0.0,0.005240728855697805,0.0,0.0
33,18.554886759608443,0.0,0.005293548772409915,0.0,0.0
34,18.773571666284766,0.0,0.005346153172651489,0.0,0.0
35,18.99225657296109,0.0,0.005398607571882603,0.0,0.0
36,19.210941479637412,0.0,0.005450923291751594,0.0,0.0
37,19.429626386313736,0.0,0.0055038120310153356,0.0,0.0
38,19.64831129299006,0.0,0.005557228051742177,0.0,0.0
39,19.86699619966638,0.0,0.005610542193173897,0.0,0.0
40,20.085681106342705,0.0,0.0056637566690576815,0.0,0.0
41,20.304366013019028,0.0,0.005716873673089244,0.0,0.0
42,20.52305091969535,0.0,0.0057700598463433835,0.0,0.0
43,20.741735826371674,0.0,0.005823516762874502,0.0,0.0
44,20.960420733047997,0.0,0.005876894163730129,0.0,0.0
45,21.179105639724323,0.0,0.005930194204771327,0.0,0.0
46,21.397790546400646,0.0,0.0059834190247360685,0.0,0.0
47,21.61647545307697,0.0,0.006036606866850917,0.0,0.0
48,21.835160359753292,0.0,0.0060900348033992,0.0,0.0
49,22.053845266429615,0.0,0.00614340119866166,0.0,0.0
50,22.272530173105938,0.0,0.006196708156761328,0.0,0.0
51,22.491215079782265,0.0,0.006249957767141187,0.0,0.0
52,22.709899986458588,0.0,0.0063031521048990445,0.0,0.0
53,22.92858489313491,0.0,0.006356711140226942,0.0,0.0
54,23.147269799811234,0.0,0.0064102773384212275,0.0,0.0
55,23.365954706487557,0.0,0.006463788243551074,0.0,0.0
56,23.58463961316388,0.0,0.00651714002046683,0.0,0.0
57,23.803324519840203,0.0,0.006570311633401718,0.0,0.0
58,24.022009426516526,0.0,0.006622949973869824,0.0,0.0
59,24.24069433319285,0.0,0.006675233199778032,0.0,0.0
60,24.459379239869172,0.0,0.006727319373909337,0.0,0.0
61,24.678064146545495,0.0,0.006779206202635032,0.0,0.0
62,24.896749053221818,0.0,0.006830891375400011,0.0,0.0
63,25.115433959898144,0.0,0.006882607956072341,0.0,0.0
64,25.334118866574467,0.0,0.006934386553512418,0.0,0.0
65,25.552803773250787,0.0,0.006985965669692332,0.0,0.0
66,25.771488679927113,0.0,0.0070373429036672845,0.0,0.0
67,25.990173586603436,0.0,0.007088515839254684,0.0,0.0
68,26.208858493279763,0.0,0.00713962505183039,0.0,0.0
69,26.427543399956086,0.0,0.007190931631363354,0.0,0.0
70,26.64622830663241,0.0,0.007242036250858794,0.0,0.0
71,26.864913213308732,0.0,0.007292936406094111,0.0,0.0
72,27.083598119985055,0.0,0.007343629579198869,0.0,0.0
73,27.302283026661378,0.0,0.007394131472212266,0.0,0.0
74,27.5209679333377,0.0,0.007444752621109428,0.0,0.0
75,27.739652840014024,0.0,0.0074951650756124935,0.0,0.0
76,27.958337746690347,0.0,0.007545366247258953,0.0,0.0
77,28.17702265336667,0.0,0.007595615414564845,0.0,0.0
