xflr5 v6.61

Plane name :, Katla
Polar name :, T1-15.0 m/s-VLM2-2.3kg-x0.0m
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.152525,   0.000937,   0.012271,   0.013208,  -0.000000,  -0.000000,   0.130371,   0.000000,   0.000000,   15.0000,    0.1729
   -4.500,     0.000,  -0.102170,   0.000613,   0.010672,   0.011285,  -0.000000,   0.000000,   0.106125,   0.000000,   0.000000,   15.0000,    0.2086
   -4.000,     0.000,  -0.051792,   0.000397,   0.009620,   0.010016,  -0.000000,   0.000000,   0.081809,   0.000000,   0.000000,   15.0000,    0.3139
   -3.500,     0.000,  -0.001400,   0.000288,   0.009418,   0.009706,  -0.000000,   0.000000,   0.057449,   0.000000,   0.000000,   15.0000,    8.0021
   -3.000,     0.000,   0.049002,   0.000287,   0.009289,   0.009576,  -0.000000,   0.000000,   0.032908,   0.000000,   0.000000,   15.0000,   -0.1253
   -2.500,     0.000,   0.099405,   0.000394,   0.009245,   0.009639,  -0.000000,   0.000000,   0.008208,   0.000000,   0.000000,   15.0000,   -0.0109
   -2.000,     0.000,   0.149803,   0.000610,   0.009209,   0.009819,  -0.000000,   0.000000,  -0.016665,   0.000000,   0.000000,   15.0000,    0.0265
   -1.500,     0.000,   0.200190,   0.000934,   0.009172,   0.010106,  -0.000000,   0.000000,  -0.041709,   0.000000,   0.000000,   15.0000,    0.0451
   -1.000,     0.000,   0.250559,   0.001366,   0.009156,   0.010522,  -0.000000,   0.000000,  -0.066914,   0.000000,   0.000000,   15.0000,    0.0562
   -0.500,     0.000,   0.300903,   0.001906,   0.009220,   0.011126,  -0.000000,   0.000000,  -0.092265,   0.000000,   0.000000,   15.0000,    0.0636
    0.000,     0.000,   0.351215,   0.002554,   0.009395,   0.011949,  -0.000000,   0.000000,  -0.117750,   0.000000,   0.000000,   15.0000,    0.0689
    0.500,     0.000,   0.401489,   0.003310,   0.009684,   0.012994,  -0.000000,   0.000000,  -0.143360,   0.000000,   0.000000,   15.0000,    0.0729
    1.000,     0.000,   0.451719,   0.004173,   0.010060,   0.014232,  -0.000000,   0.000000,  -0.169089,  -0.000000,   0.000000,   15.0000,    0.0759
    1.500,     0.000,   0.501897,   0.005143,   0.010493,   0.015636,  -0.000000,   0.000000,  -0.194934,  -0.000000,  -0.000000,   15.0000,    0.0784
    2.000,     0.000,   0.552017,   0.006218,   0.010972,   0.017191,  -0.000000,   0.000000,  -0.220891,  -0.000000,  -0.000000,   15.0000,    0.0804
    2.500,     0.000,   0.602073,   0.007400,   0.011505,   0.018905,  -0.000000,   0.000000,  -0.246953,  -0.000000,  -0.000000,   15.0000,    0.0821
    3.000,     0.000,   0.652057,   0.008686,   0.012120,   0.020806,  -0.000000,   0.000000,  -0.273109,  -0.000000,  -0.000000,   15.0000,    0.0835
    3.500,     0.000,   0.701964,   0.010076,   0.012866,   0.022942,  -0.000000,   0.000000,  -0.299344,  -0.000000,  -0.000000,   15.0000,    0.0848
    4.000,     0.000,   0.751786,   0.011569,   0.013775,   0.025344,  -0.000000,   0.000000,  -0.325650,  -0.000000,  -0.000000,   15.0000,    0.0858
    4.500,     0.000,   0.801518,   0.013165,   0.014855,   0.028020,  -0.000000,   0.000000,  -0.352016,  -0.000000,  -0.000000,   15.0000,    0.0868
    5.000,     0.000,   0.851152,   0.014861,   0.016098,   0.030959,  -0.000000,   0.000000,  -0.378434,  -0.000000,  -0.000000,   15.0000,    0.0876
    5.500,     0.000,   0.900683,   0.016658,   0.017508,   0.034165,  -0.000000,   0.000000,  -0.404901,  -0.000000,  -0.000000,   15.0000,    0.0884
    6.000,     0.000,   0.950103,   0.018553,   0.019151,   0.037704,  -0.000000,   0.000000,  -0.431405,  -0.000000,  -0.000000,   15.0000,    0.0890
    6.500,     0.000,   0.999407,   0.020546,   0.020941,   0.041487,  -0.000000,   0.000000,  -0.457943,  -0.000000,  -0.000000,   15.0000,    0.0897
    7.000,     0.000,   1.048588,   0.022635,   0.023015,   0.045650,  -0.000000,   0.000000,  -0.484505,  -0.000000,  -0.000000,   15.0000,    0.0902


