xflr5 v6.61

Plane name :, Katla
Polar name :, T1-15.0 m/s-VLM2-2.3kg-x0.0m
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.152525,   0.000937,   0.012550,   0.013487,  -0.000000,  -0.000000,   0.130467,   0.000000,   0.000000,   15.0000,    0.1729
   -4.500,     0.000,  -0.102170,   0.000613,   0.010844,   0.011458,  -0.000000,   0.000000,   0.106199,   0.000000,   0.000000,   15.0000,    0.2086
   -4.000,     0.000,  -0.051792,   0.000397,   0.009808,   0.010204,  -0.000000,   0.000000,   0.081890,   0.000000,   0.000000,   15.0000,    0.3139
   -3.500,     0.000,  -0.001400,   0.000288,   0.009704,   0.009992,  -0.000000,   0.000000,   0.057542,   0.000000,   0.000000,   15.0000,    8.0021
   -3.000,     0.000,   0.049002,   0.000287,   0.009642,   0.009929,  -0.000000,   0.000000,   0.033009,   0.000000,   0.000000,   15.0000,   -0.1253
   -2.500,     0.000,   0.099405,   0.000394,   0.009645,   0.010039,  -0.000000,   0.000000,   0.008314,   0.000000,   0.000000,   15.0000,   -0.0109
   -2.000,     0.000,   0.149803,   0.000610,   0.009633,   0.010243,  -0.000000,   0.000000,  -0.016555,   0.000000,   0.000000,   15.0000,    0.0265
   -1.500,     0.000,   0.200190,   0.000934,   0.009602,   0.010536,  -0.000000,   0.000000,  -0.041598,   0.000000,   0.000000,   15.0000,    0.0451
   -1.000,     0.000,   0.250559,   0.001366,   0.009571,   0.010936,  -0.000000,   0.000000,  -0.066807,   0.000000,   0.000000,   15.0000,    0.0562
   -0.500,     0.000,   0.300903,   0.001906,   0.009609,   0.011515,  -0.000000,   0.000000,  -0.092164,   0.000000,   0.000000,   15.0000,    0.0636
    0.000,     0.000,   0.351215,   0.002554,   0.009757,   0.012311,  -0.000000,   0.000000,  -0.117657,   0.000000,   0.000000,   15.0000,    0.0689
    0.500,     0.000,   0.401489,   0.003310,   0.010025,   0.013335,  -0.000000,   0.000000,  -0.143275,   0.000000,   0.000000,   15.0000,    0.0729
    1.000,     0.000,   0.451719,   0.004173,   0.010392,   0.014565,  -0.000000,   0.000000,  -0.169009,  -0.000000,   0.000000,   15.0000,    0.0759
    1.500,     0.000,   0.501897,   0.005143,   0.010826,   0.015969,  -0.000000,   0.000000,  -0.194858,  -0.000000,  -0.000000,   15.0000,    0.0784
    2.000,     0.000,   0.552017,   0.006218,   0.011310,   0.017529,  -0.000000,   0.000000,  -0.220818,  -0.000000,  -0.000000,   15.0000,    0.0804
    2.500,     0.000,   0.602073,   0.007400,   0.011849,   0.019249,  -0.000000,   0.000000,  -0.246882,  -0.000000,  -0.000000,   15.0000,    0.0821
    3.000,     0.000,   0.652057,   0.008686,   0.012471,   0.021156,  -0.000000,   0.000000,  -0.273040,  -0.000000,  -0.000000,   15.0000,    0.0835
    3.500,     0.000,   0.701964,   0.010076,   0.013237,   0.023313,  -0.000000,   0.000000,  -0.299276,  -0.000000,  -0.000000,   15.0000,    0.0848
    4.000,     0.000,   0.751786,   0.011569,   0.014157,   0.025727,  -0.000000,   0.000000,  -0.325584,  -0.000000,  -0.000000,   15.0000,    0.0858
    4.500,     0.000,   0.801518,   0.013165,   0.015274,   0.028438,  -0.000000,   0.000000,  -0.351947,  -0.000000,  -0.000000,   15.0000,    0.0868
    5.000,     0.000,   0.851152,   0.014861,   0.016569,   0.031430,  -0.000000,   0.000000,  -0.378359,  -0.000000,  -0.000000,   15.0000,    0.0876
    5.500,     0.000,   0.900683,   0.016658,   0.018059,   0.034717,  -0.000000,   0.000000,  -0.404819,  -0.000000,  -0.000000,   15.0000,    0.0884
    6.000,     0.000,   0.950103,   0.018553,   0.019791,   0.038344,  -0.000000,   0.000000,  -0.431313,  -0.000000,  -0.000000,   15.0000,    0.0890
    6.500,     0.000,   0.999407,   0.020546,   0.021696,   0.042242,  -0.000000,   0.000000,  -0.457843,  -0.000000,  -0.000000,   15.0000,    0.0897
    7.000,     0.000,   1.048588,   0.022635,   0.023954,   0.046590,  -0.000000,   0.000000,  -0.484391,  -0.000000,  -0.000000,   15.0000,    0.0902
    7.500,     0.000,   1.097640,   0.024819,   0.026606,   0.051425,  -0.000000,   0.000000,  -0.510925,  -0.000000,  -0.000000,   15.0000,    0.0907
    8.000,     0.000,   1.146557,   0.027097,   0.030245,   0.057342,  -0.000000,   0.000000,  -0.537399,  -0.000000,  -0.000000,   15.0000,    0.0912


