xflr5 v6.61

Plane name :, Katla_+6
Polar name :, T1-15.0 m/s-VLM2-2.3kg-x0.0m
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,   0.179793,   0.001406,   0.014678,   0.016084,   0.000000,  -0.000000,  -0.001977,  -0.000000,  -0.000000,   15.0000,    0.0083
   -4.500,     0.000,   0.230180,   0.001745,   0.014653,   0.016398,   0.000000,  -0.000000,  -0.026494,  -0.000000,  -0.000000,   15.0000,    0.0284
   -4.000,     0.000,   0.280552,   0.002191,   0.014594,   0.016785,   0.000000,  -0.000000,  -0.051188,  -0.000000,  -0.000000,   15.0000,    0.0413
   -3.500,     0.000,   0.330902,   0.002746,   0.014417,   0.017163,   0.000000,  -0.000000,  -0.076064,  -0.000000,  -0.000000,   15.0000,    0.0503
   -3.000,     0.000,   0.381223,   0.003408,   0.014142,   0.017551,   0.000000,  -0.000000,  -0.101113,  -0.000000,  -0.000000,   15.0000,    0.0569
   -2.500,     0.000,   0.431510,   0.004178,   0.013872,   0.018051,  -0.000000,  -0.000000,  -0.126321,  -0.000000,  -0.000000,   15.0000,    0.0620
   -2.000,     0.000,   0.481754,   0.005056,   0.013663,   0.018719,  -0.000000,  -0.000000,  -0.151679,  -0.000000,  -0.000000,   15.0000,    0.0660
   -1.500,     0.000,   0.531950,   0.006041,   0.013353,   0.019394,  -0.000000,  -0.000000,  -0.177190,  -0.000000,  -0.000000,   15.0000,    0.0692
   -1.000,     0.000,   0.582091,   0.007133,   0.012959,   0.020092,  -0.000000,  -0.000000,  -0.202849,  -0.000000,  -0.000000,   15.0000,    0.0719
   -0.500,     0.000,   0.632171,   0.008331,   0.012466,   0.020797,  -0.000000,  -0.000000,  -0.228657,  -0.000000,  -0.000000,   15.0000,    0.0742
    0.000,     0.000,   0.682182,   0.009635,   0.011953,   0.021588,  -0.000000,  -0.000000,  -0.254603,  -0.000000,  -0.000000,   15.0000,    0.0761
    0.500,     0.000,   0.732118,   0.011043,   0.011523,   0.022567,  -0.000000,  -0.000000,  -0.280664,  -0.000000,  -0.000000,   15.0000,    0.0778
    1.000,     0.000,   0.781972,   0.012556,   0.012123,   0.024680,  -0.000000,  -0.000000,  -0.306737,  -0.000000,  -0.000000,   15.0000,    0.0793
    1.500,     0.000,   0.831739,   0.014173,   0.012948,   0.027121,  -0.000000,  -0.000000,  -0.332851,  -0.000000,  -0.000000,   15.0000,    0.0806
    2.000,     0.000,   0.881411,   0.015892,   0.014026,   0.029918,  -0.000000,  -0.000000,  -0.359002,  -0.000000,  -0.000000,   15.0000,    0.0817
    2.500,     0.000,   0.930982,   0.017712,   0.015303,   0.033015,  -0.000000,  -0.000000,  -0.385209,  -0.000000,  -0.000000,   15.0000,    0.0828
    3.000,     0.000,   0.980446,   0.019633,   0.016744,   0.036377,  -0.000000,  -0.000000,  -0.411474,  -0.000000,  -0.000000,   15.0000,    0.0837
    3.500,     0.000,   1.029796,   0.021654,   0.018330,   0.039984,  -0.000000,  -0.000000,  -0.437792,   0.000000,  -0.000000,   15.0000,    0.0845
    4.000,     0.000,   1.079025,   0.023772,   0.020064,   0.043836,  -0.000000,  -0.000000,  -0.464161,   0.000000,  -0.000000,   15.0000,    0.0853
    4.500,     0.000,   1.128129,   0.025987,   0.021977,   0.047964,  -0.000000,  -0.000000,  -0.490573,   0.000000,  -0.000000,   15.0000,    0.0860
    5.000,     0.000,   1.177099,   0.028298,   0.024187,   0.052485,  -0.000000,  -0.000000,  -0.517011,   0.000000,  -0.000000,   15.0000,    0.0867
    5.500,     0.000,   1.225930,   0.030703,   0.026856,   0.057559,  -0.000000,  -0.000000,  -0.543449,   0.000000,  -0.000000,   15.0000,    0.0873
    6.000,     0.000,   1.274615,   0.033201,   0.030065,   0.063266,  -0.000000,  -0.000000,  -0.569872,   0.000000,  -0.000000,   15.0000,    0.0878
    6.500,     0.000,   1.323149,   0.035789,   0.034096,   0.069886,  -0.000000,  -0.000000,  -0.596245,   0.000000,  -0.000000,   15.0000,    0.0883


