xflr5 v6.61

Plane name :, Katla_Wing_Only
Polar name :, T1-15.0 m/s-VLM2-2.3kg-x0.0m
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -5.000,     0.000,  -0.119884,   0.000292,   0.010675,   0.010967,   0.000000,  -0.000000,  -0.010055,  -0.000000,   0.000000,   15.0000,   -0.0173
   -4.500,     0.000,  -0.072139,   0.000106,   0.008808,   0.008914,   0.000000,  -0.000000,  -0.023242,   0.000000,   0.000000,   15.0000,   -0.0671
   -4.000,     0.000,  -0.024379,   0.000012,   0.008144,   0.008156,   0.000000,  -0.000000,  -0.036379,   0.000000,   0.000000,   15.0000,   -0.3120
   -3.500,     0.000,   0.023390,   0.000011,   0.008186,   0.008197,  -0.000000,  -0.000000,  -0.049535,   0.000000,   0.000000,   15.0000,    0.4433
   -3.000,     0.000,   0.071163,   0.000103,   0.008300,   0.008403,  -0.000000,  -0.000000,  -0.062828,  -0.000000,   0.000000,   15.0000,    0.1845
   -2.500,     0.000,   0.118933,   0.000289,   0.008391,   0.008680,  -0.000000,   0.000000,  -0.076265,   0.000000,   0.000000,   15.0000,    0.1336
   -2.000,     0.000,   0.166694,   0.000567,   0.008423,   0.008990,  -0.000000,   0.000000,  -0.089849,  -0.000000,   0.000000,   15.0000,    0.1119
   -1.500,     0.000,   0.214440,   0.000939,   0.008415,   0.009354,  -0.000000,   0.000000,  -0.103574,   0.000000,   0.000000,   15.0000,    0.0999
   -1.000,     0.000,   0.262165,   0.001403,   0.008381,   0.009784,  -0.000000,   0.000000,  -0.117433,  -0.000000,   0.000000,   15.0000,    0.0922
   -0.500,     0.000,   0.309863,   0.001961,   0.008370,   0.010331,  -0.000000,   0.000000,  -0.131414,  -0.000000,  -0.000000,   15.0000,    0.0869
    0.000,     0.000,   0.357528,   0.002611,   0.008441,   0.011052,  -0.000000,   0.000000,  -0.145504,  -0.000000,  -0.000000,   15.0000,    0.0830
    0.500,     0.000,   0.405153,   0.003353,   0.008657,   0.012010,  -0.000000,   0.000000,  -0.159694,  -0.000000,  -0.000000,   15.0000,    0.0801
    1.000,     0.000,   0.452734,   0.004187,   0.009003,   0.013190,  -0.000000,   0.000000,  -0.173978,  -0.000000,  -0.000000,   15.0000,    0.0777
    1.500,     0.000,   0.500263,   0.005113,   0.009434,   0.014547,  -0.000000,   0.000000,  -0.188358,  -0.000000,   0.000000,   15.0000,    0.0758
    2.000,     0.000,   0.547735,   0.006129,   0.009919,   0.016048,  -0.000000,   0.000000,  -0.202834,  -0.000000,  -0.000000,   15.0000,    0.0743
    2.500,     0.000,   0.595144,   0.007235,   0.010449,   0.017684,  -0.000000,   0.000000,  -0.217403,  -0.000000,  -0.000000,   15.0000,    0.0730
    3.000,     0.000,   0.642483,   0.008431,   0.011055,   0.019486,  -0.000000,   0.000000,  -0.232059,  -0.000000,  -0.000000,   15.0000,    0.0718
    3.500,     0.000,   0.689747,   0.009716,   0.011803,   0.021519,  -0.000000,   0.000000,  -0.246788,  -0.000000,  -0.000000,   15.0000,    0.0709
    4.000,     0.000,   0.736930,   0.011089,   0.012741,   0.023830,  -0.000000,   0.000000,  -0.261587,  -0.000000,  -0.000000,   15.0000,    0.0700
    4.500,     0.000,   0.784026,   0.012549,   0.013936,   0.026485,  -0.000000,   0.000000,  -0.276439,  -0.000000,  -0.000000,   15.0000,    0.0693
    5.000,     0.000,   0.831029,   0.014095,   0.015328,   0.029423,  -0.000000,   0.000000,  -0.291343,  -0.000000,   0.000000,   15.0000,    0.0687
    5.500,     0.000,   0.877934,   0.015726,   0.016874,   0.032600,  -0.000000,   0.000000,  -0.306303,  -0.000000,   0.000000,   15.0000,    0.0681
    6.000,     0.000,   0.924733,   0.017441,   0.018637,   0.036078,  -0.000000,   0.000000,  -0.321310,  -0.000000,   0.000000,   15.0000,    0.0676
    6.500,     0.000,   0.971423,   0.019239,   0.020696,   0.039934,  -0.000000,   0.000000,  -0.336359,  -0.000000,  -0.000000,   15.0000,    0.0671
    7.000,     0.000,   1.017996,   0.021118,   0.023126,   0.044244,  -0.000000,   0.000000,  -0.351445,  -0.000000,  -0.000000,   15.0000,    0.0667
    7.500,     0.000,   1.064447,   0.023078,   0.026134,   0.049212,  -0.000000,   0.000000,  -0.366532,   0.000000,  -0.000000,   15.0000,    0.0663
    8.000,     0.000,   1.110771,   0.025117,   0.029929,   0.055046,  -0.000000,   0.000000,  -0.381591,  -0.000000,  -0.000000,   15.0000,    0.0660


