xflr5 v6.61

Plane name :, Katla
Polar name :, T2-VLM2-2.3kg-x0.0m
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,   0.049002,   0.000287,   0.007009,   0.007296,  -0.000000,   0.000000,   0.032287,   0.000000,   0.000000,   37.3720,   -0.1253
   -2.500,     0.000,   0.099405,   0.000394,   0.007406,   0.007800,  -0.000000,   0.000000,   0.007751,   0.000000,   0.000000,   26.2390,   -0.0109
   -2.000,     0.000,   0.149803,   0.000610,   0.007921,   0.008531,  -0.000000,   0.000000,  -0.016964,   0.000000,   0.000000,   21.3743,    0.0265
   -1.500,     0.000,   0.200190,   0.000934,   0.008562,   0.009496,  -0.000000,   0.000000,  -0.041844,   0.000000,   0.000000,   18.4897,    0.0451
   -1.000,     0.000,   0.250559,   0.001366,   0.009151,   0.010517,  -0.000000,   0.000000,  -0.066909,   0.000000,   0.000000,   16.5271,    0.0562
   -0.500,     0.000,   0.300903,   0.001906,   0.009691,   0.011597,  -0.000000,   0.000000,  -0.092162,   0.000000,   0.000000,   15.0813,    0.0636
    0.000,     0.000,   0.351215,   0.002554,   0.010117,   0.012671,  -0.000000,   0.000000,  -0.117575,   0.000000,   0.000000,   13.9593,    0.0689
    0.500,     0.000,   0.401489,   0.003310,   0.010693,   0.014003,  -0.000000,   0.000000,  -0.143124,   0.000000,   0.000000,   13.0561,    0.0729
    1.000,     0.000,   0.451719,   0.004173,   0.011318,   0.015491,  -0.000000,   0.000000,  -0.168806,  -0.000000,   0.000000,   12.3088,    0.0759
    1.500,     0.000,   0.501897,   0.005143,   0.012003,   0.017146,  -0.000000,   0.000000,  -0.194610,  -0.000000,   0.000000,   11.6773,    0.0784
    2.000,     0.000,   0.552017,   0.006218,   0.012754,   0.018973,  -0.000000,   0.000000,  -0.220529,  -0.000000,  -0.000000,   11.1346,    0.0804
    2.500,     0.000,   0.602073,   0.007400,   0.013573,   0.020973,  -0.000000,   0.000000,  -0.246554,  -0.000000,  -0.000000,   10.6617,    0.0821
    3.000,     0.000,   0.652057,   0.008686,   0.014480,   0.023166,  -0.000000,   0.000000,  -0.272677,  -0.000000,  -0.000000,   10.2449,    0.0835
    3.500,     0.000,   0.701964,   0.010076,   0.015516,   0.025592,  -0.000000,   0.000000,  -0.298885,  -0.000000,  -0.000000,    9.8740,    0.0848
    4.000,     0.000,   0.751786,   0.011569,   0.016791,   0.028360,  -0.000000,   0.000000,  -0.325156,  -0.000000,  -0.000000,    9.5412,    0.0858
    4.500,     0.000,   0.801518,   0.013165,   0.018447,   0.031612,  -0.000000,   0.000000,  -0.351464,  -0.000000,  -0.000000,    9.2405,    0.0868
    5.000,     0.000,   0.851152,   0.014861,   0.020497,   0.035358,  -0.000000,   0.000000,  -0.377799,  -0.000000,  -0.000000,    8.9670,    0.0876
    5.500,     0.000,   0.900683,   0.016658,   0.022863,   0.039521,  -0.000000,   0.000000,  -0.404167,  -0.000000,  -0.000000,    8.7170,    0.0884
    6.000,     0.000,   0.950103,   0.018553,   0.025600,   0.044154,  -0.000000,   0.000000,  -0.430552,  -0.000000,  -0.000000,    8.4872,    0.0890
    6.500,     0.000,   0.999407,   0.020546,   0.028967,   0.049513,  -0.000000,   0.000000,  -0.456909,  -0.000000,  -0.000000,    8.2752,    0.0897


