xflr5 v6.61

Plane name :, Katla_Wing_Only
Polar name :, T2-VLM2-2.3kg-x0.0m
Freestream speed :, 15.0 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.500,     0.000,   0.023390,   0.000011,   0.006248,   0.006259,  -0.000000,  -0.000000,  -0.049934,   0.000000,   0.000000,   54.0921,    0.4433
   -3.000,     0.000,   0.071163,   0.000103,   0.006191,   0.006294,  -0.000000,  -0.000000,  -0.063228,   0.000000,   0.000000,   31.0116,    0.1845
   -2.500,     0.000,   0.118933,   0.000289,   0.006441,   0.006730,  -0.000000,   0.000000,  -0.076612,   0.000000,   0.000000,   23.9884,    0.1336
   -2.000,     0.000,   0.166694,   0.000567,   0.006948,   0.007515,  -0.000000,   0.000000,  -0.090093,   0.000000,   0.000000,   20.2624,    0.1119
   -1.500,     0.000,   0.214440,   0.000939,   0.007461,   0.008400,  -0.000000,   0.000000,  -0.103723,   0.000000,   0.000000,   17.8648,    0.0999
   -1.000,     0.000,   0.262165,   0.001403,   0.007976,   0.009379,  -0.000000,   0.000000,  -0.117489,   0.000000,   0.000000,   16.1571,    0.0922
   -0.500,     0.000,   0.309863,   0.001961,   0.008414,   0.010374,  -0.000000,   0.000000,  -0.131406,   0.000000,  -0.000000,   14.8616,    0.0869
    0.000,     0.000,   0.357528,   0.002611,   0.008775,   0.011386,  -0.000000,   0.000000,  -0.145441,   0.000000,  -0.000000,   13.8355,    0.0830
    0.500,     0.000,   0.405153,   0.003353,   0.009285,   0.012638,  -0.000000,   0.000000,  -0.159584,  -0.000000,  -0.000000,   12.9970,    0.0801
    1.000,     0.000,   0.452734,   0.004187,   0.009853,   0.014040,  -0.000000,   0.000000,  -0.173832,  -0.000000,  -0.000000,   12.2950,    0.0777
    1.500,     0.000,   0.500263,   0.005113,   0.010486,   0.015599,  -0.000000,   0.000000,  -0.188180,  -0.000000,   0.000000,   11.6964,    0.0758
    2.000,     0.000,   0.547735,   0.006129,   0.011184,   0.017313,  -0.000000,   0.000000,  -0.202624,  -0.000000,  -0.000000,   11.1780,    0.0743
    2.500,     0.000,   0.595144,   0.007235,   0.011947,   0.019183,  -0.000000,   0.000000,  -0.217160,  -0.000000,  -0.000000,   10.7236,    0.0730
    3.000,     0.000,   0.642483,   0.008431,   0.012799,   0.021230,  -0.000000,   0.000000,  -0.231782,  -0.000000,  -0.000000,   10.3210,    0.0718
    3.500,     0.000,   0.689747,   0.009716,   0.013776,   0.023493,  -0.000000,   0.000000,  -0.246482,  -0.000000,  -0.000000,    9.9611,    0.0709
    4.000,     0.000,   0.736930,   0.011089,   0.014980,   0.026069,  -0.000000,   0.000000,  -0.261242,  -0.000000,  -0.000000,    9.6369,    0.0700
    4.500,     0.000,   0.784026,   0.012549,   0.016556,   0.029104,  -0.000000,   0.000000,  -0.276040,  -0.000000,   0.000000,    9.3430,    0.0693
    5.000,     0.000,   0.831029,   0.014095,   0.018511,   0.032605,  -0.000000,   0.000000,  -0.290868,  -0.000000,   0.000000,    9.0749,    0.0687
    5.500,     0.000,   0.877934,   0.015726,   0.020783,   0.036508,  -0.000000,   0.000000,  -0.305733,  -0.000000,   0.000000,    8.8292,    0.0681
    6.000,     0.000,   0.924733,   0.017441,   0.023411,   0.040852,  -0.000000,   0.000000,  -0.320630,  -0.000000,   0.000000,    8.6029,    0.0676
    6.500,     0.000,   0.971423,   0.019239,   0.026594,   0.045833,  -0.000000,   0.000000,  -0.335507,  -0.000000,   0.000000,    8.3936,    0.0671


