fowler v19
0.65182 0.09003
0.64372 0.09053
0.63561 0.09103
0.62750 0.09154
0.61940 0.09243
0.61128 0.09331
0.60317 0.09420
0.59505 0.09509
0.58694 0.09598
0.57882 0.09687
0.57072 0.09775
0.56262 0.09864
0.55449 0.09953
0.54639 0.10042
0.53828 0.10130
0.53015 0.10219
0.52205 0.10308
0.51393 0.10397
0.50561 0.10377
0.49775 0.10108
0.49131 0.09585
0.48725 0.08862
0.48594 0.08042
0.48594 0.04464
0.48594 0.04464
0.47988 0.04384
0.47382 0.04303
0.46776 0.04223
0.46225 0.04152
0.45674 0.04082
0.45127 0.04011
0.44581 0.03940
0.44034 0.03869
0.43487 0.03799
0.42944 0.03728
0.42402 0.03657
0.41859 0.03587
0.41317 0.03516
0.40779 0.03450
0.40240 0.03383
0.39706 0.03317
0.39172 0.03250
0.38638 0.03184
0.38104 0.03118
0.37574 0.03051
0.37045 0.02985
0.36519 0.02924
0.35993 0.02862
0.35468 0.02804
0.34942 0.02747
0.34425 0.02689
0.33908 0.02631
0.33395 0.02575
0.32882 0.02517
0.32370 0.02463
0.31856 0.02411
0.31352 0.02362
0.30848 0.02313
0.30348 0.02265
0.29848 0.02216
0.29352 0.02172
0.28856 0.02128
0.28364 0.02084
0.27872 0.02039
0.27385 0.02004
0.26898 0.01968
0.26419 0.01928
0.25940 0.01888
0.25461 0.01858
0.24982 0.01827
0.24516 0.01796
0.24049 0.01765
0.23583 0.01734
0.23117 0.01703
0.22659 0.01681
0.22201 0.01659
0.21752 0.01637
0.21303 0.01615
0.20858 0.01593
0.20413 0.01571
0.19972 0.01557
0.19531 0.01544
0.19099 0.01531
0.18666 0.01517
0.18243 0.01505
0.17819 0.01491
0.16979 0.01473
0.16166 0.01465
0.15352 0.01455
0.13792 0.01455
0.13029 0.01465
0.12292 0.01483
0.11571 0.01491
0.10867 0.01517
0.10181 0.01544
0.09511 0.01571
0.08867 0.01606
0.08240 0.01641
0.07638 0.01685
0.07053 0.01730
0.06485 0.01783
0.05943 0.01845
0.05425 0.01898
0.04925 0.01968
0.04451 0.02039
0.04001 0.02110
0.03569 0.02189
0.03162 0.02269
0.02780 0.02357
0.02416 0.02446
0.02086 0.02543
0.01772 0.02641
0.01484 0.02747
0.01221 0.02852
0.00983 0.02968
0.00763 0.03091
0.00576 0.03206
0.00415 0.03339
0.00272 0.03471
0.00161 0.03604
0.00076 0.03746
0.00025 0.03887
0.00000 0.04055
0.00000 0.04232
0.00017 0.04418
0.00051 0.04612
0.00102 0.04807
0.00178 0.05010
0.00272 0.05231
0.00381 0.05444
0.00509 0.05665
0.00653 0.05885
0.00822 0.06115
0.01000 0.06337
0.01204 0.06566
0.01424 0.06796
0.01653 0.07026
0.01907 0.07247
0.02179 0.07477
0.02467 0.07698
0.02772 0.07919
0.03094 0.08140
0.03433 0.08352
0.03798 0.08565
0.04171 0.08768
0.04569 0.08972
0.04976 0.09166
0.05408 0.09361
0.05858 0.09546
0.06324 0.09723
0.06807 0.09900
0.07316 0.10068
0.07841 0.10227
0.08375 0.10386
0.08935 0.10537
0.09511 0.10678
0.10113 0.10820
0.10724 0.10952
0.11359 0.11076
0.12004 0.11200
0.12673 0.11315
0.13351 0.11421
0.14055 0.11527
0.14767 0.11624
0.15496 0.11713
0.16242 0.11801
0.16997 0.11890
0.17776 0.11960
0.18565 0.12031
0.19362 0.12093
0.20175 0.12155
0.21006 0.12208
