AG40d -02f
    1.000000      0.4814379E-03
   0.9940540      0.1172633E-02
   0.9821650      0.2752605E-02
   0.9687070      0.4561299E-02
   0.9550280      0.6322112E-02
   0.9413030      0.8078735E-02
   0.9275960      0.9842481E-02
   0.9138820      0.1162831E-01
   0.9001530      0.1344294E-01
   0.8864240      0.1524070E-01
   0.8726890      0.1703249E-01
   0.8589780      0.1880471E-01
   0.8452560      0.2055800E-01
   0.8315580      0.2229080E-01
   0.8178620      0.2400416E-01
   0.8041860      0.2569318E-01
   0.7905130      0.2735470E-01
   0.7768500      0.2898660E-01
   0.7631950      0.3065403E-01
   0.7580060      0.3135543E-01
   0.7552350      0.3172763E-01
   0.7516720      0.3220351E-01
   0.7473150      0.3278190E-01
   0.7367220      0.3417086E-01
   0.7230130      0.3592974E-01
   0.7126600      0.3723067E-01
   0.6954540      0.3961668E-01
   0.6815880      0.4156353E-01
   0.6676860      0.4346928E-01
   0.6564890      0.4496721E-01
   0.6509200      0.4570023E-01
   0.6397960      0.4713772E-01
   0.6258170      0.4889640E-01
   0.6139840      0.5034494E-01
   0.5978800      0.5225797E-01
   0.5839440      0.5385561E-01
   0.5700120      0.5540155E-01
   0.5589420      0.5659252E-01
   0.5499850      0.5753164E-01
   0.5419590      0.5835460E-01
   0.5280430      0.5973890E-01
   0.5141280      0.6106824E-01
   0.5001790      0.6234466E-01
   0.4862000      0.6356873E-01
   0.4722090      0.6473144E-01
   0.4582060      0.6583609E-01
   0.4441780      0.6688195E-01
   0.4301260      0.6786354E-01
   0.4160490      0.6877962E-01
   0.4019610      0.6962791E-01
   0.3878960      0.7040152E-01
   0.3738690      0.7109692E-01
   0.3598780      0.7170896E-01
   0.3459190      0.7223861E-01
   0.3319970      0.7267627E-01
   0.3181090      0.7301687E-01
   0.3042520      0.7325489E-01
   0.2904300      0.7338588E-01
   0.2766251      0.7340156E-01
   0.2628281      0.7329176E-01
   0.2490511      0.7304744E-01
   0.2352941      0.7265601E-01
   0.2215511      0.7210816E-01
   0.2078371      0.7138770E-01
   0.1941551      0.7047233E-01
   0.1805011      0.6934233E-01
   0.1669001      0.6797500E-01
   0.1533451      0.6633771E-01
   0.1398581      0.6441397E-01
   0.1264541      0.6217586E-01
   0.1131411      0.5959665E-01
   0.9996207E-01  0.5663816E-01
   0.8693607E-01  0.5326916E-01
   0.7411907E-01  0.4944317E-01
   0.6154907E-01  0.4511255E-01
   0.4934606E-01  0.4024768E-01
   0.3769406E-01  0.3482763E-01
   0.2697105E-01  0.2891967E-01
   0.1786904E-01  0.2286555E-01
   0.1109603E-01  0.1733212E-01
   0.6584027E-02  0.1277983E-01
