t, F
0,18.63354037
5,18.42650104
10,18.63354037
15,18.5300207
20,18.42650104
25,18.2194617
30,18.42650104
35,18.32298137
40,18.11594203
45,17.90890269
50,17.90890269
55,18.32298137
60,18.11594203
65,18.01242236
70,17.90890269
75,17.70186335
80,17.70186335
85,17.70186335
90,17.59834369
95,17.59834369
100,17.49482402
105,17.39130435
110,17.49482402
115,17.49482402
120,17.28778468
125,17.39130435
130,17.39130435
135,17.28778468
140,17.28778468
145,17.18426501
150,17.18426501
155,17.18426501
160,17.08074534
165,17.08074534
170,17.08074534
175,17.18426501
180,17.08074534
185,16.97722567
190,17.08074534
195,17.08074534
200,16.97722567
205,16.97722567
210,16.97722567
