t, u
0,12.147
0.1,12.122
0.2,12.082
0.3,12.082
0.4,12.073
0.5,12.065
0.6,12.042
0.7,12.042
0.8,12.042
0.9,12.029
1,12.029
1.1,12.029
1.2,12.029
1.3,12.025
1.4,12.025
1.5,12.025
1.6,12.003
1.7,12.003
1.8,12.003
1.9,11.995
2,11.995
2.1,11.995
2.2,11.992
2.3,11.98
2.4,11.98
2.5,11.98
2.6,11.975
2.7,11.975
2.8,11.975
2.9,11.974
3,11.972
3.1,11.972
3.2,11.971
3.3,11.967
3.4,11.964
3.5,11.961
3.6,11.958
3.7,11.956
3.8,11.954
3.9,11.951
4,11.949
4.1,11.949
4.2,11.948
4.3,11.948
4.4,11.946
4.5,11.944
4.6,11.942
4.7,11.941
4.8,11.941
4.9,11.941
5,11.94
5.1,11.938
5.2,11.938
5.3,11.935
5.4,11.93
5.5,11.93
5.6,11.929
5.7,11.922
5.8,11.918
5.9,11.918
6,11.918
6.1,11.917
6.2,11.917
6.3,11.917
6.4,11.915
6.5,11.915
6.6,11.915
6.7,11.915
6.8,11.915
6.9,11.914
7,11.913
7.1,11.911
7.2,11.911
7.3,11.909
7.4,11.908
7.5,11.906
7.6,11.905
7.7,11.904
7.8,11.903
7.9,11.902
8,11.9
8.1,11.9
8.2,11.898
8.3,11.897
8.4,11.896
8.5,11.893
8.6,11.893
8.7,11.892
8.8,11.89
8.9,11.889
9,11.888
9.1,11.887
9.2,11.886
9.3,11.886
9.4,11.884
9.5,11.882
9.6,11.881
9.7,11.88
9.8,11.879
9.9,11.876
10,11.876
10.1,11.876
10.2,11.874
10.3,11.874
10.4,11.872
10.5,11.872
10.6,11.87
10.7,11.869
10.8,11.868
10.9,11.868
11,11.868
11.1,11.868
11.2,11.863
11.3,11.858
11.4,11.843
11.5,11.843
11.6,11.842
11.7,11.841
11.8,11.841
11.9,11.838
12,11.838
12.1,11.838
12.2,11.837
12.3,11.836
12.4,11.835
12.5,11.834
12.6,11.831
12.7,11.83
12.8,11.827
12.9,11.826
13,11.826
13.1,11.825
13.2,11.824
13.3,11.824
13.4,11.823
13.5,11.822
13.6,11.82
13.7,11.819
13.8,11.818
13.9,11.817
14,11.815
14.1,11.815
14.2,11.813
14.3,11.811
14.4,11.811
14.5,11.81
14.6,11.809
14.7,11.807
14.8,11.807
14.9,11.805
15,11.803
15.1,11.803
15.2,11.802
15.3,11.8
15.4,11.8
15.5,11.798
15.6,11.798
15.7,11.795
15.8,11.794
15.9,11.794
16,11.791
16.1,11.79
16.2,11.789
16.3,11.787
16.4,11.787
16.5,11.786
16.6,11.785
16.7,11.783
16.8,11.783
16.9,11.782
17,11.78
17.1,11.78
17.2,11.779
