  
       XFOIL         Version 6.97
  
 Calculated polar for: AG45c                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.970 e 6     Ncrit =  11.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3000   0.00422   0.00089  -0.0601   0.6875   1.0000
   0.100   0.3112   0.00427   0.00089  -0.0601   0.6767   1.0000
   0.200   0.3224   0.00432   0.00088  -0.0600   0.6662   1.0000
   0.300   0.3335   0.00437   0.00088  -0.0600   0.6558   1.0000
   0.400   0.3447   0.00443   0.00088  -0.0599   0.6454   1.0000
   0.500   0.3558   0.00449   0.00088  -0.0599   0.6351   1.0000
   0.600   0.3670   0.00454   0.00088  -0.0599   0.6245   1.0000
   0.700   0.3782   0.00459   0.00089  -0.0598   0.6143   1.0000
   0.800   0.3894   0.00465   0.00089  -0.0598   0.6044   1.0000
   0.900   0.4005   0.00471   0.00090  -0.0597   0.5944   1.0000
   1.000   0.4117   0.00476   0.00091  -0.0597   0.5842   1.0000
   1.100   0.4229   0.00482   0.00092  -0.0597   0.5747   1.0000
   1.200   0.4340   0.00488   0.00093  -0.0596   0.5653   1.0000
   1.300   0.4452   0.00494   0.00094  -0.0596   0.5556   1.0000
   1.400   0.4564   0.00499   0.00096  -0.0596   0.5463   1.0000
   1.500   0.4676   0.00505   0.00098  -0.0595   0.5375   1.0000
   1.600   0.4787   0.00512   0.00100  -0.0595   0.5283   1.0000
   1.700   0.4899   0.00517   0.00102  -0.0595   0.5195   1.0000
   1.800   0.5010   0.00523   0.00104  -0.0595   0.5111   1.0000
   1.900   0.5122   0.00529   0.00106  -0.0594   0.5023   1.0000
   2.000   0.5234   0.00535   0.00108  -0.0594   0.4939   1.0000
   2.100   0.5345   0.00542   0.00110  -0.0594   0.4857   1.0000
   2.200   0.5457   0.00547   0.00113  -0.0594   0.4771   1.0000
   2.300   0.5568   0.00553   0.00116  -0.0593   0.4690   1.0000
   2.500   0.5791   0.00566   0.00121  -0.0593   0.4527   1.0000
   2.600   0.5902   0.00572   0.00125  -0.0592   0.4446   1.0000
   2.700   0.6013   0.00579   0.00129  -0.0592   0.4359   1.0000
   2.800   0.6124   0.00585   0.00132  -0.0592   0.4277   1.0000
   2.900   0.6235   0.00593   0.00136  -0.0592   0.4196   1.0000
   3.000   0.6346   0.00598   0.00139  -0.0591   0.4111   1.0000
   3.100   0.6457   0.00606   0.00143  -0.0591   0.4025   1.0000
   3.300   0.6678   0.00621   0.00151  -0.0590   0.3841   1.0000
   3.400   0.6789   0.00628   0.00155  -0.0590   0.3756   1.0000
   3.500   0.6898   0.00637   0.00161  -0.0590   0.3663   1.0000
   3.600   0.7009   0.00645   0.00166  -0.0589   0.3567   1.0000
   3.700   0.7119   0.00653   0.00171  -0.0589   0.3472   1.0000
   3.800   0.7228   0.00663   0.00176  -0.0589   0.3380   1.0000
   3.900   0.7338   0.00671   0.00182  -0.0588   0.3289   1.0000
   4.000   0.7448   0.00680   0.00187  -0.0588   0.3197   1.0000
